taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
104050689,spatial_join,no spatial geometry in clean file,Glaucostegus cemiculus,Blackchin Guitarfish,CR,Fishes (not comprehensive)
188421,spatial_join,no spatial geometry in clean file,Stegastes rocasensis,Rocas Gregory,EN,Fishes (not comprehensive)
68399123,spatial_join,no spatial geometry in clean file,Branchiostegus argentatus,Silver Tilefish,NT,Fishes (not comprehensive)
214417427,spatial_join,no spatial geometry in clean file,Rhynchobatus mononoke,Japanese Wedgefish,CR,Fishes (not comprehensive)
162209834,spatial_join,no spatial geometry in clean file,Pristiophorus lanae,Lana's Sawshark,NT,Fishes (not comprehensive)
41007,spatial_join,no spatial geometry in clean file,Hippocampus algiricus,West African Seahorse,VU,Fishes (not comprehensive)
41008,spatial_join,no spatial geometry in clean file,Hippocampus comes,Tiger-tail Seahorse,VU,Fishes (not comprehensive)
41010,spatial_join,no spatial geometry in clean file,Hippocampus kelloggi,Great Seahorse,VU,Fishes (not comprehensive)
188472,spatial_join,no spatial geometry in clean file,Altrichthys azurelineatus,Azure Damsel,VU,Fishes (not comprehensive)
196674,spatial_join,no spatial geometry in clean file,Neoopisthopterus cubanus,Cuban Longfin Herring,VU,Fishes (not comprehensive)
41030,spatial_join,no spatial geometry in clean file,Syngnathus watermeyeri,Estuarine Pipefish,EN,Fishes (not comprehensive)
196678,spatial_join,no spatial geometry in clean file,Fundulus jenkinsi,Saltmarsh Topminnow,VU,Fishes (not comprehensive)
188498,spatial_join,no spatial geometry in clean file,Amphiprion mccullochi,McCulloch's Anemonefish,VU,Fishes (not comprehensive)
241147990,spatial_join,no spatial geometry in clean file,Lethops connectens,Halfblind Goby,VU,Fishes (not comprehensive)
68309086,spatial_join,no spatial geometry in clean file,Elacatinus cayman,Cayman Cleaner Goby,EN,Fishes (not comprehensive)
68399203,spatial_join,no spatial geometry in clean file,Branchiostegus auratus,Yellow Tilefish,NT,Fishes (not comprehensive)
41064,spatial_join,no spatial geometry in clean file,Pseudobatos horkelii,Brazilian Guitarfish,CR,Fishes (not comprehensive)
12398,spatial_join,no spatial geometry in clean file,Lucifuga spelaeotes,Bahama Cavefish,VU,Fishes (not comprehensive)
12399,spatial_join,no spatial geometry in clean file,Lucifuga simile,Blind Cave Brotula,CR,Fishes (not comprehensive)
188528,spatial_join,no spatial geometry in clean file,Amblyglyphidodon batunai,Green Sergeant,VU,Fishes (not comprehensive)
241152111,spatial_join,no spatial geometry in clean file,Gouania pigra,Piglet Sucker,VU,Fishes (not comprehensive)
68309114,spatial_join,no spatial geometry in clean file,Tigrigobius harveyi,Cayman Greenbanded Goby,EN,Fishes (not comprehensive)
188541,spatial_join,no spatial geometry in clean file,Stegastes trindadensis,Trindade Gregory,EN,Fishes (not comprehensive)
12416,spatial_join,no spatial geometry in clean file,Lutjanus analis,Mutton Snapper,NT,Fishes (not comprehensive)
12417,spatial_join,no spatial geometry in clean file,Lutjanus cyanopterus,Cubera Snapper,VU,Fishes (not comprehensive)
