taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
43,14255260,2016-04-07T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/43/14255260,"Dow, R.A. 2017. Acanthaeschna victoria. The IUCN Red List of Threatened Species 2017: e.T43A14255260. Accessed on 29 June 2026.",Acanthaeschna victoria,Thylacine Darner,EN,Decreasing,,32-500,121536,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",43,self,True,False,EN
984,13100344,2008-08-21T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/984/13100344,"Clausnitzer, V. 2010. Amanipodagrion gilliesi. The IUCN Red List of Threatened Species 2010: e.T984A13100344. Accessed on 29 June 2026.",Amanipodagrion gilliesi,,CR,Decreasing,,,,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",984,self,True,False,CR
2424,14272233,2016-04-17T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/2424/14272233,"Dow, R.A. 2019. Austrocordulia leonardi. The IUCN Red List of Threatened Species 2019: e.T2424A14272233. Accessed on 29 June 2026.",Austrocordulia leonardi,Sydney Hawk,VU,Decreasing,,20-500,5358-19703,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",2424,self,True,True,VU
2875,122058507,2017-12-08T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/2875/122058507,"Karube, H., Nishihara, S. & Futahashi, R. 2020. Ischnura ezoin. The IUCN Red List of Threatened Species 2020: e.T2875A122058507. Accessed on 29 June 2026.",Ischnura ezoin,Ogasawara-itotombo,EN,Decreasing,,32,258,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",2875,self,True,False,EN
2882,9490176,1996-08-01T01:00:00.000+01:00,1996,https://www.iucnredlist.org/species/2882/9490176,Odonata Specialist Group 1996. Boninthemis insularis. The IUCN Red List of Threatened Species 1996: e.T2882A9490176. Accessed on 29 June 2026.,Boninthemis insularis,Shima-akane,CR,,,,,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",2882,self,True,False,CR
6973,12818297,2007-04-01T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/6973/12818297,"Samways, M.J. 2010. Ecchlorolestes nylephtha. The IUCN Red List of Threatened Species 2010: e.T6973A12818297. Accessed on 29 June 2026.",Ecchlorolestes nylephtha,Queen Malachite,NT,Stable,,0-400,400,species,,[],INSECTA,FW_ODONATA,NT,"Insects, other invertebrates (not comprehensive)",6973,self,True,False,NT
7832,12853654,2007-03-01T00:00:00.000+00:00,2009,https://www.iucnredlist.org/species/7832/12853654,"Paulson, D. R. 2009. Epigomphus camelus. The IUCN Red List of Threatened Species 2009: e.T7832A12853654. Accessed on 29 June 2026.",Epigomphus camelus,Humped Knobtail,EN,Unknown,,,1-1999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",7832,self,True,False,EN
7833,176245387,2007-03-01T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/7833/176245387,"Paulson, D. R. 2020. Epigomphus clavatus (amended version of 2009 assessment). The IUCN Red List of Threatened Species 2020: e.T7833A176245387. Accessed on 29 June 2026.",Epigomphus clavatus,Guatemalan Knobtail,EN,Unknown,,,1-999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",7833,self,True,False,EN
7836,12854505,2007-03-01T00:00:00.000+00:00,2009,https://www.iucnredlist.org/species/7836/12854505,"Paulson, D. R. 2009. Epigomphus subsimilis. The IUCN Red List of Threatened Species 2009: e.T7836A12854505. Accessed on 29 June 2026.",Epigomphus subsimilis,Alajuela Knobtail,EN,Unknown,,,1-999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",7836,self,True,False,EN
9871,122058246,2017-12-07T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/9871/122058246,"Karube, H. 2020. Hemicordulia ogasawarensis. The IUCN Red List of Threatened Species 2020: e.T9871A122058246. Accessed on 29 June 2026.",Hemicordulia ogasawarensis,Ogasawara-tombo,EN,Decreasing,,20,21,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",9871,self,True,False,EN
10820,122058452,2017-12-07T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/10820/122058452,"Karube, H. 2020. Indolestes boninensis. The IUCN Red List of Threatened Species 2020: e.T10820A122058452. Accessed on 29 June 2026.",Indolestes boninensis,Ogasawara-aoitotombo,CR,Decreasing,,16,16,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",10820,self,True,False,CR
12598,208808964,2022-09-15T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/12598/208808964,"De Knijf, G., Billqvist, M., van Grunsven, R.H.A., Prunier, F. & Vinko, D. 2023. Macromia splendens. The IUCN Red List of Threatened Species 2023: e.T12598A208808964. Accessed on 29 June 2026.",Macromia splendens,Splendid Cruiser,VU,Decreasing,,2892,712716,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",12598,self,True,False,VU
12953,510761,2019-01-10T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/12953/510761,"Polhemus, D.A. 2020. Megalagrion jugorum. The IUCN Red List of Threatened Species 2020: e.T12953A510761. Accessed on 29 June 2026.",Megalagrion jugorum,Maui Upland Damselfly,CR,Unknown,,,0-100,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",12953,self,True,False,CR
12954,141745781,2019-01-10T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/12954/141745781,"Polhemus, D.A. 2020. Megalagrion leptodemas. The IUCN Red List of Threatened Species 2020: e.T12954A141745781. Accessed on 29 June 2026.",Megalagrion leptodemas,Crimson Hawaiian Damselfly,CR,Decreasing,,20,83,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",12954,self,True,False,CR
12958,510839,2019-01-17T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/12958/510839,"Polhemus, D.A. 2020. Megalagrion oceanicum. The IUCN Red List of Threatened Species 2020: e.T12958A510839. Accessed on 29 June 2026.",Megalagrion oceanicum,Oceanic Hawaiian Damselfly,CR,Decreasing,,40,80,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",12958,self,True,False,CR
12959,510946,2019-01-18T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/12959/510946,"Polhemus, D.A. 2020. Megalagrion pacificum. The IUCN Red List of Threatened Species 2020: e.T12959A510946. Accessed on 29 June 2026.",Megalagrion pacificum,Pacific Hawaiian Damselfly,EN,Decreasing,,60,3550,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",12959,self,True,False,EN
12960,511063,2019-01-18T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/12960/511063,"Polhemus, D.A. 2020. Megalagrion xanthomelas. The IUCN Red List of Threatened Species 2020: e.T12960A511063. Accessed on 29 June 2026.",Megalagrion xanthomelas,Orangeblack Hawaiian Damselfly,EN,Unknown,,108,27950,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",12960,self,True,False,EN
12961,511184,2019-01-17T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/12961/511184,"Polhemus, D.A. 2020. Megalagrion oahuense. The IUCN Red List of Threatened Species 2020: e.T12961A511184. Accessed on 29 June 2026.",Megalagrion oahuense,Oahu Damselfly,VU,Unknown,,48,172,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",12961,self,True,False,VU
13891,4362234,2011-01-19T00:00:00.000+00:00,2011,https://www.iucnredlist.org/species/13891/4362234,"Wilson, K.D.P. & Reels, G. 2011. Mortonagrion hirosei. The IUCN Red List of Threatened Species 2011: e.T13891A4362234. Accessed on 29 June 2026.",Mortonagrion hirosei,Four-spot Midget,NT,Unknown,,,,species,,[],INSECTA,FW_ODONATA,NT,"Insects, other invertebrates (not comprehensive)",13891,self,True,False,NT
15543,189591178,2021-04-08T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/15543/189591178,"Samways, M.J. & Simaika, J. 2021. Orthetrum rubens. The IUCN Red List of Threatened Species 2021: e.T15543A189591178. Accessed on 29 June 2026.",Orthetrum rubens,Elusive Skimmer,VU,Unknown,,1204,28992,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",15543,self,True,False,VU
16712,87528690,2016-05-16T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/16712/87528690,"Dow, R.A. 2019. Petalura pulcherrima. The IUCN Red List of Threatened Species 2019: e.T16712A87528690. Accessed on 29 June 2026.",Petalura pulcherrima,Beautiful Petaltail,VU,Unknown,,,,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",16712,self,True,False,VU
19509,169157293,2019-05-19T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/19509/169157293,"Hämäläinen, M. & Dow, R.A. 2020. Rhinocypha hageni (errata version published in 2020). The IUCN Red List of Threatened Species 2020: e.T19509A169157293. Accessed on 29 June 2026.",Rhinocypha hageni,,EN,Decreasing,,0-50,,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",19509,self,True,False,EN
19511,122059823,2017-12-07T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/19511/122059823,"Karube, H. 2020. Rhinocypha ogasawarensis. The IUCN Red List of Threatened Species 2020: e.T19511A122059823. Accessed on 29 June 2026.",Rhinocypha ogasawarensis,Hanadaka-tombo,EN,Decreasing,,36,2174,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",19511,self,True,False,EN
29599,138267615,2019-05-20T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/29599/138267615,"Dow, R.A. 2020. Rhinocypha latimacula. The IUCN Red List of Threatened Species 2020: e.T29599A138267615. Accessed on 29 June 2026.",Rhinocypha latimacula,,EN,Decreasing,,50-350,,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",29599,self,True,True,EN
42843,10758888,2007-04-01T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/42843/10758888,"Samways, M.J. 2010. Pseudagrion newtoni. The IUCN Red List of Threatened Species 2010: e.T42843A10758888. Accessed on 29 June 2026.",Pseudagrion newtoni,Harlequin Sprite,VU,Stable,,0-500,0-20000,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",42843,self,True,False,VU
59697,11972996,2006-02-28T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/59697/11972996,"Clausnitzer, V. 2010. Atoconeura aethiopica. The IUCN Red List of Threatened Species 2010: e.T59697A11972996. Accessed on 29 June 2026.",Atoconeura aethiopica,Ethiopian Highlander,VU,Decreasing,,,,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",59697,self,True,False,VU
59700,138714520,2019-11-14T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/59700/138714520,"Jović, M. & Boudot, J.-P. 2020. Ceriagrion georgifreyi. The IUCN Red List of Threatened Species 2020: e.T59700A138714520. Accessed on 29 June 2026.",Ceriagrion georgifreyi,Turkish Red Damsel,EN,Decreasing,,116,440292-849224,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59700,self,True,False,EN
59701,176218519,2016-09-08T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/59701/176218519,"Schütte, K. 2020. Coenagriocnemis insularis (amended version of 2017 assessment). The IUCN Red List of Threatened Species 2020: e.T59701A176218519. Accessed on 29 June 2026.",Coenagriocnemis insularis,,EN,Decreasing,,,,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59701,self,True,False,EN
59706,203274302,2022-09-08T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/59706/203274302,"De Knijf, G., Billqvist, M., van Grunsven, R.H.A., Prunier, F. & Vinko, D. 2023. Cordulegaster helladica. The IUCN Red List of Threatened Species 2023: e.T59706A203274302. Accessed on 29 June 2026.",Cordulegaster helladica,Greek Goldenring,VU,Decreasing,,532,52019,species,,"[63226, 63227, 165533]",INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",59706,self,True,False,VU
