taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
18,22182349,2016-03-01T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/18/22182349,"Bernal, N. 2016. Abrocoma boliviensis. The IUCN Red List of Threatened Species 2016: e.T18A22182349. Accessed on 22 June 2026.",Abrocoma boliviensis,Bolivian Chinchilla Rat,CR,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,18,self,True,False,CR
137,220501878,2022-07-10T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/137/220501878,"Sheherazade, Tsang, S.M. & Matorang, Z. 2022. Acerodon celebensis. The IUCN Red List of Threatened Species 2022: e.T137A220501878. Accessed on 22 June 2026.",Acerodon celebensis,Sulawesi Fruit Bat,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,137,self,True,False,VU
138,115517951,2015-06-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/138/115517951,"Mildenstein, T. 2016. Acerodon humilis (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T138A115517951. Accessed on 22 June 2026.",Acerodon humilis,Talaud Fruit Bat,EN,Decreasing,,,1577,species,,[],MAMMALIA,MAMMALS,EN,Mammals,138,self,True,False,EN
139,21988328,2016-04-05T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/139/21988328,"Mildenstein, T. & Paguntalan, L. 2016. Acerodon jubatus. The IUCN Red List of Threatened Species 2016: e.T139A21988328. Accessed on 22 June 2026.",Acerodon jubatus,Golden-capped Fruit Bat,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,139,self,True,False,EN
140,21988055,2019-04-23T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/140/21988055,"Mildenstein, T., Widmann, P., Lacerna, I., Paguntalan, L. & Jakosalem, P.G. 2020. Acerodon leucotis. The IUCN Red List of Threatened Species 2020: e.T140A21988055. Accessed on 22 June 2026.",Acerodon leucotis,Palawan Fruit Bat,VU,Decreasing,,,41348,species,,[],MAMMALIA,MAMMALS,VU,Mammals,140,self,True,False,VU
142,21989107,2015-04-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/142/21989107,"Mildenstein, T. 2016. Acerodon mackloti. The IUCN Red List of Threatened Species 2016: e.T142A21989107. Accessed on 22 June 2026.",Acerodon mackloti,Sunda Fruit Bat,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,142,self,True,False,VU
219,259025524,2021-05-17T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/219/259025524,"Durant, S.M., Groom, R., Ipavec, A., Mitchell, N. & Khalatbari, L. 2024. Acinonyx jubatus (amended version of 2023 assessment). The IUCN Red List of Threatened Species 2024: e.T219A259025524. Accessed on 22 June 2026.",Acinonyx jubatus,Cheetah,VU,Decreasing,6517,3123830,27720178,species,,"[220, 221, 231957008]",MAMMALIA,MAMMALS,VU,Mammals,219,self,True,False,VU
512,50180603,2016-04-27T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/512/50180603,IUCN SSC Antelope Specialist Group 2016. Addax nasomaculatus. The IUCN Red List of Threatened Species 2016: e.T512A50180603. Accessed on 22 June 2026.,Addax nasomaculatus,Addax,CR,Decreasing,30-90,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,512,self,True,False,CR
700,22197554,2016-03-01T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/700/22197554,"Roach, N. 2016. Cuniculus taczanowskii. The IUCN Red List of Threatened Species 2016: e.T700A22197554. Accessed on 22 June 2026.",Cuniculus taczanowskii,Mountain Paca,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,700,self,True,False,NT
712,121745669,2016-04-11T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/712/121745669,"Swaisgood, R., Wang, D. & Wei, F. 2016. Ailuropoda melanoleuca (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T712A121745669. Accessed on 22 June 2026.",Ailuropoda melanoleuca,Giant Panda,VU,Increasing,500-1000,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,712,self,True,False,VU
