taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
315,62821344,2015-04-30T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/315/62821344,"Ormes, M. & Cordeiro, J. 2017. Acroloxus coloradensis. The IUCN Red List of Threatened Species 2017: e.T315A62821344. Accessed on 26 June 2026.",Acroloxus coloradensis,Rocky Mountain Capshell,NT,Unknown,,2000,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",315,self,True,False,NT
618,91287686,2016-06-04T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/618/91287686,"Van Damme, D. 2016. Africanogyrus rodriguezensis. The IUCN Red List of Threatened Species 2016: e.T618A91287686. Accessed on 26 June 2026.",Africanogyrus rodriguezensis,,VU,Decreasing,,8,,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",618,self,True,False,VU
619,91287776,2016-06-05T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/619/91287776,"Van Damme, D. 2016. Africanogyrus starmuehlneri. The IUCN Red List of Threatened Species 2016: e.T619A91287776. Accessed on 26 June 2026.",Africanogyrus starmuehlneri,,EN,Unknown,,400,,species,,[],GASTROPODA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",619,self,True,False,EN
774,3142336,2012-03-12T00:00:00.000+00:00,2012,https://www.iucnredlist.org/species/774/3142336,"Cummings, K., Cordeiro, J. & Perez, K. 2012. Alasmidonta atropurpurea. The IUCN Red List of Threatened Species 2012: e.T774A3142336. Accessed on 26 June 2026.",Alasmidonta atropurpurea,Cumberland Elktoe,EN,Decreasing,,500,,species,,[],BIVALVIA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",774,self,True,False,EN
775,13077570,2011-07-22T01:00:00.000+01:00,2011,https://www.iucnredlist.org/species/775/13077570,"Cummings, K. & Cordeiro, J. 2011. Alasmidonta heterodon. The IUCN Red List of Threatened Species 2011: e.T775A13077570. Accessed on 26 June 2026.",Alasmidonta heterodon,Dwarf Wedgemussel,VU,Decreasing,,500-2000,">20,000",species,,[],BIVALVIA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",775,self,True,False,VU
776,3142501,2012-03-12T00:00:00.000+00:00,2012,https://www.iucnredlist.org/species/776/3142501,"Cummings, K. & Cordeiro, J. 2012. Alasmidonta raveneliana. The IUCN Red List of Threatened Species 2012: e.T776A3142501. Accessed on 26 June 2026.",Alasmidonta raveneliana,Appalachian Elktoe,CR,Decreasing,,100,250-1000,species,,[],BIVALVIA,FW_MOLLUSCS,CR,"Crustaceans, Molluscs (not comprehensive)",776,self,True,False,CR
781,69490583,2015-06-10T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/781/69490583,"Woolnough, D. & Bogan, A.E. 2017. Alasmidonta varicosa. The IUCN Red List of Threatened Species 2017: e.T781A69490583. Accessed on 26 June 2026.",Alasmidonta varicosa,Brook Floater,VU,Decreasing,,,1212773,species,,[],BIVALVIA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",781,self,True,False,VU
980,13099938,2009-12-18T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/980/13099938,"Reischütz, P. 2010. Alzoniella hartwigschuetti. The IUCN Red List of Threatened Species 2010: e.T980A13099938. Accessed on 26 June 2026.",Alzoniella hartwigschuetti,,NT,Unknown,,500,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",980,self,True,False,NT
1262,3366218,2008-04-23T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/1262/3366218,"Van Damme, D. 2010. Ancylus ashangiensis. The IUCN Red List of Threatened Species 2010: e.T1262A3366218. Accessed on 26 June 2026.",Ancylus ashangiensis,,CR,Unknown,,3,27,species,,[],GASTROPODA,FW_MOLLUSCS,CR,"Crustaceans, Molluscs (not comprehensive)",1262,self,True,False,CR
1291,3396669,2011-07-22T01:00:00.000+01:00,2011,https://www.iucnredlist.org/species/1291/3396669,"Clark, S. 2011. Fluvidona anodonta. The IUCN Red List of Threatened Species 2011: e.T1291A3396669. Accessed on 26 June 2026.",Fluvidona anodonta,North Pine River Freshwater Snail,VU,Unknown,,,400,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",1291,self,True,False,VU
1295,3401709,2011-07-22T01:00:00.000+01:00,2011,https://www.iucnredlist.org/species/1295/3401709,"Clark, S. 2011. Austropyrgus grampianensis. The IUCN Red List of Threatened Species 2011: e.T1295A3401709. Accessed on 26 June 2026.",Austropyrgus grampianensis,,NT,Unknown,,,0-70,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",1295,self,True,False,NT
