taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
75,217758862,2014-07-12T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/75/217758862,"Vinke, T. & Vinke, S. 2022. Acanthochelys pallidipectoris (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2022: e.T75A217758862. Accessed on 21 June 2026.",Acanthochelys pallidipectoris,Chaco Side-necked Turtle,EN,Decreasing,"500-5000, 1000",,,species,,[],REPTILIA,FW_OTHER,EN,Fishes (not comprehensive),75,self,True,False,EN
867,3146005,2017-07-31T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/867/3146005,"Jiang, H.-X. & Wu, X. 2018. Alligator sinensis. The IUCN Red List of Threatened Species 2018: e.T867A3146005. Accessed on 21 June 2026.",Alligator sinensis,Chinese Alligator,CR,Stable,68-86,5,43,species,,[],REPTILIA,FW_OTHER,CR,Fishes (not comprehensive),867,self,True,False,CR
928,79808332,2016-08-04T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/928/79808332,IUCN SSC Amphibian Specialist Group 2017. Alsodes barrioi. The IUCN Red List of Threatened Species 2017: e.T928A79808332. Accessed on 21 June 2026.,Alsodes barrioi,Cabreria Spiny-chest Frog,EN,Stable,,,1074.32,species,,[],AMPHIBIA,FW_OTHER,EN,Fishes (not comprehensive),928,self,True,False,EN
929,79808437,2015-07-09T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/929/79808437,IUCN SSC Amphibian Specialist Group 2016. Alsodes montanus. The IUCN Red List of Threatened Species 2016: e.T929A79808437. Accessed on 21 June 2026.,Alsodes montanus,Mountain Spiny-chest Frog,VU,Decreasing,,2000,5252.19,species,,[],AMPHIBIA,FW_OTHER,VU,Fishes (not comprehensive),929,self,True,False,VU
932,79808564,2018-06-18T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/932/79808564,IUCN SSC Amphibian Specialist Group 2019. Alsodes vanzolinii. The IUCN Red List of Threatened Species 2019: e.T932A79808564. Accessed on 21 June 2026.,Alsodes vanzolinii,Vanzolini's Spiny-chest Frog,EN,Decreasing,,,4586.79,species,,[],AMPHIBIA,FW_OTHER,EN,Fishes (not comprehensive),932,self,True,False,EN
977,207979274,2023-02-20T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/977/207979274,"Martínez-Solano, I., Schmidt, B.R. & IUCN SSC Amphibian Specialist Group 2024. Alytes muletensis. The IUCN Red List of Threatened Species 2024: e.T977A207979274. Accessed on 21 June 2026.",Alytes muletensis,Mallorcan Midwife Toad,EN,Increasing,"1000-3000,1900","50-500,60",519,species,,[],AMPHIBIA,FW_OTHER,EN,Fishes (not comprehensive),977,self,True,False,EN
979,228179357,2023-02-20T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/979/228179357,"Salvador, A., Díaz-Paniagua, C., Recuero Gil, E., Martínez-Solano, I., Bosch, J., Arntzen, J., García París, M., Lizana, M., Tejedo, M. & Márquez, R. 2024. Alytes dickhilleni. The IUCN Red List of Threatened Species 2024: e.T979A228179357. Accessed on 21 June 2026.",Alytes dickhilleni,Betic Midwife Toad,EN,Decreasing,,,36748,species,,[],AMPHIBIA,FW_OTHER,EN,Fishes (not comprehensive),979,self,True,False,EN
1093,176771946,2014-09-11T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/1093/176771946,IUCN SSC Amphibian Specialist Group 2015. Ambystoma lermaense (errata version published in 2020). The IUCN Red List of Threatened Species 2015: e.T1093A176771946. Accessed on 21 June 2026.,Ambystoma lermaense,Lake Lerma Salamander,EN,Decreasing,,300,303.42,species,,[],AMPHIBIA,FW_OTHER,EN,Fishes (not comprehensive),1093,self,True,False,EN
1095,53947343,2019-10-23T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/1095/53947343,IUCN SSC Amphibian Specialist Group 2020. Ambystoma mexicanum. The IUCN Red List of Threatened Species 2020: e.T1095A53947343. Accessed on 21 June 2026.,Ambystoma mexicanum,Axolotl,CR,Decreasing,50-1000,,467,species,,[],AMPHIBIA,FW_OTHER,CR,Fishes (not comprehensive),1095,self,True,False,CR
1098,118971391,2021-04-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/1098/118971391,IUCN SSC Amphibian Specialist Group 2022. Ambystoma californiense. The IUCN Red List of Threatened Species 2022: e.T1098A118971391. Accessed on 21 June 2026.,Ambystoma californiense,California Tiger Salamander,VU,Decreasing,,,,species,,[],AMPHIBIA,FW_OTHER,VU,Fishes (not comprehensive),1098,self,True,False,VU
