taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
222,97439806,2016-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/222/97439806,"Bolden, S.K. & Fox, D. 2022. Acipenser brevirostrum. The IUCN Red List of Threatened Species 2022: e.T222A97439806. Accessed on 19 June 2026.",Acipenser brevirostrum,Shortnose Sturgeon,VU,Stable,100000,6500,800000,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),222,self,True,False,VU
224,135061929,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/224/135061929,"Bronzi, P., Congiu, L. & Freyhof, J. 2022. Acipenser naccarii. The IUCN Red List of Threatened Species 2022: e.T224A135061929. Accessed on 19 June 2026.",Acipenser naccarii,Adriatic Sturgeon,CR,Increasing,50-100,2600,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),224,self,True,False,CR
225,227579266,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/225/227579266,"Freyhof, J., Chebanov, M. & Pourkazemi, M. 2022. Acipenser nudiventris (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T225A227579266. Accessed on 19 June 2026.",Acipenser nudiventris,Ship Sturgeon,CR,Decreasing,100,,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),225,self,True,False,CR
229,135062806,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/229/135062806,"Mugue, N., Friedrich, T., Chebanov, M. & Ruban, G. 2022. Acipenser stellatus. The IUCN Red List of Threatened Species 2022: e.T229A135062806. Accessed on 19 June 2026.",Acipenser stellatus,Stellate Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),229,self,True,False,CR
230,242530547,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/230/242530547,"Gessner, J., Williot, P., Rochard, E., Freyhof, J. & Kottelat, M. 2022. Acipenser sturio (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T230A242530547. Accessed on 19 June 2026.",Acipenser sturio,European Sturgeon,CR,Decreasing,20-750,520,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),230,self,True,False,CR
232,135063140,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/232/135063140,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser gueldenstaedtii. The IUCN Red List of Threatened Species 2022: e.T232A135063140. Accessed on 19 June 2026.",Acipenser gueldenstaedtii,Russian Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),232,self,True,False,CR
233,97433481,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/233/97433481,"Moser, M. 2022. Acipenser medirostris. The IUCN Red List of Threatened Species 2022: e.T233A97433481. Accessed on 19 June 2026.",Acipenser medirostris,Green Sturgeon,EN,Unknown,5000-6000,1500,1316953,species,,[],ACTINOPTERYGII,MARINEFISH,EN,Fishes (not comprehensive),233,self,True,False,EN
234,97440736,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/234/97440736,"Crossman, J. & Hildebrand, L. 2022. Acipenser transmontanus. The IUCN Red List of Threatened Species 2022: e.T234A97440736. Accessed on 19 June 2026.",Acipenser transmontanus,White Sturgeon,VU,Stable,,10000,,species,,[],ACTINOPTERYGII,MARINEFISH,VU,Fishes (not comprehensive),234,self,True,False,VU
235,135063465,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/235/135063465,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser persicus. The IUCN Red List of Threatened Species 2022: e.T235A135063465. Accessed on 19 June 2026.",Acipenser persicus,Persian Sturgeon,CR,Decreasing,200,90,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),235,self,True,False,CR
236,219152605,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/236/219152605,"Qiwei, W. 2022. Acipenser sinensis (amended version of 2022 assessment). The IUCN Red List of Threatened Species 2022: e.T236A219152605. Accessed on 19 June 2026.",Acipenser sinensis,Chinese Sturgeon,CR,Decreasing,,10,,species,,[],ACTINOPTERYGII,MARINEFISH,CR,Fishes (not comprehensive),236,self,True,False,CR
