taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit
22678073,219615764,2022-08-12T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678073/219615764,BirdLife International 2022. Rhea americana. The IUCN Red List of Threatened Species 2022: e.T22678073A219615764. Accessed on 19 June 2026.,Rhea americana,Greater Rhea,NT,Decreasing,,,8740000,species,,[],AVES,BIRDS,,Birds,True,False,NT,-53.882490989422365,-21.383867296297247,range_polygon,1,1,11,1,11,200,1.0,1,Extant,1,Resident,22678073,self,6949336.44029777,6949336.44029777,6949336.44029777,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2006,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2006. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678122,214272214,2022-08-11T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678122/214272214,BirdLife International 2022. Apteryx australis. The IUCN Red List of Threatened Species 2022: e.T22678122A214272214. Accessed on 19 June 2026.,Apteryx australis,Southern Brown Kiwi,VU,Decreasing,16500,,69300,species,,[],AVES,BIRDS,,Birds,True,False,VU,167.42638984128516,-45.54903431995484,range_polygon,1,1,15,1,15,200,1.0,1,Extant,1,Resident,22678122,self,10949.899805087523,10949.899805087523,10949.899805087523,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678129,214096691,2022-05-30T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678129/214096691,BirdLife International 2022. Apteryx owenii. The IUCN Red List of Threatened Species 2022: e.T22678129A214096691. Accessed on 19 June 2026.,Apteryx owenii,Little Spotted Kiwi,NT,Increasing,1500,340,296000,species,,[],AVES,BIRDS,,Birds,True,False,NT,177.04779281012244,-39.68308446250887,range_polygon,1,2,11,2,9,200,0.7895719457070669,1,Extant,1,Resident,22678129,self,73.22763892073057,57.81848934217577,57.81848934217577,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678129,214096691,2022-05-30T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678129/214096691,BirdLife International 2022. Apteryx owenii. The IUCN Red List of Threatened Species 2022: e.T22678129A214096691. Accessed on 19 June 2026.,Apteryx owenii,Little Spotted Kiwi,NT,Increasing,1500,340,296000,species,,[],AVES,BIRDS,,Birds,True,False,NT,166.5158042534523,-45.7598168170984,range_polygon,2,2,11,2,2,200,0.21042805429293315,1,Extant,1,Resident,22678129,self,73.22763892073057,15.409149578554796,15.409149578554796,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678132,214091794,2022-08-10T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678132/214091794,BirdLife International 2022. Apteryx haastii. The IUCN Red List of Threatened Species 2022: e.T22678132A214091794. Accessed on 19 June 2026.,Apteryx haastii,Great Spotted Kiwi,VU,Decreasing,9300,,21900,species,,[],AVES,BIRDS,,Birds,True,False,VU,172.204006923114,-41.57481907825662,range_polygon,1,1,4,1,4,200,1.0,1,Extant,1,Resident,22678132,self,9633.069754420263,9633.069754420263,9633.069754420263,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2022,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2022. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678135,136638024,2018-10-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678135/136638024,BirdLife International 2019. Tinamus tao. The IUCN Red List of Threatened Species 2019: e.T22678135A136638024. Accessed on 19 June 2026.,Tinamus tao,Grey Tinamou,VU,Decreasing,100000-499999,,8520000,species,,[],AVES,BIRDS,,Birds,True,False,VU,-59.84240607909603,-9.073303413899374,range_polygon,1,1,7,1,7,200,1.0,1,Extant,1,Resident,22678135,self,3809209.823689662,3809209.823689662,3809209.823689662,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2006,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2006. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678139,136639334,2018-10-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678139/136639334,BirdLife International 2019. Tinamus solitarius. The IUCN Red List of Threatened Species 2019: e.T22678139A136639334. Accessed on 19 June 2026.,Tinamus solitarius,Solitary Tinamou,NT,Decreasing,50000-200000,,1930000,species,,[],AVES,BIRDS,,Birds,True,False,NT,-47.40124091974077,-22.096568782735666,range_polygon,1,1,16,1,16,200,1.0,1,Extant,1,Resident,22678139,self,1070153.1486560877,1070153.1486560877,1070153.1486560877,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2013,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2013. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678145,136641166,2018-10-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678145/136641166,BirdLife International 2019. Tinamus osgoodi. The IUCN Red List of Threatened Species 2019: e.T22678145A136641166. Accessed on 19 June 2026.,Tinamus osgoodi,Black Tinamou,VU,Decreasing,1900-4400,,969000,species,,[],AVES,BIRDS,,Birds,True,False,VU,-71.21281705665658,-12.941589343522821,range_polygon,1,1,8,3,4,200,0.899110081815854,1,Extant,1,Resident,22678145,self,28551.968695237123,25671.36290957835,25671.36290957835,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2013,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2013. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678151,136647817,2019-08-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678151/136647817,BirdLife International 2019. Tinamus guttatus. The IUCN Red List of Threatened Species 2019: e.T22678151A136647817. Accessed on 19 June 2026.,Tinamus guttatus,White-throated Tinamou,NT,Decreasing,200000-500000,,5250000,species,,[],AVES,BIRDS,,Birds,True,False,NT,-64.54374990523729,-5.6347388646596155,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,22678151,self,3970671.25376516,3970671.25376516,3970671.25376516,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2002,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2002. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
22678185,136903049,2020-04-02T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/22678185/136903049,BirdLife International 2020. Crypturellus transfasciatus. The IUCN Red List of Threatened Species 2020: e.T22678185A136903049. Accessed on 19 June 2026.,Crypturellus transfasciatus,Pale-browed Tinamou,NT,Decreasing,,,99200,species,,[],AVES,BIRDS,,Birds,True,False,NT,-80.05256957348182,-2.332181924530426,range_polygon,1,1,29,1,29,200,1.0,1,Extant,1,Resident,22678185,self,56550.06784822076,56550.06784822076,56550.06784822076,,BOTW_2025.gpkg,BirdLife International and Handbook of the Birds of the World,2020,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,BirdLife International and Handbook of the Birds of the World 2020. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
