taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit
315,62821344,2015-04-30T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/315/62821344,"Ormes, M. & Cordeiro, J. 2017. Acroloxus coloradensis. The IUCN Red List of Threatened Species 2017: e.T315A62821344. Accessed on 26 June 2026.",Acroloxus coloradensis,Rocky Mountain Capshell,NT,Unknown,,2000,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-126.34992139530618,54.39524586731439,range_polygon,1,2,15,6,8,200,0.5188090423640305,1,Extant,1,Resident,315,self,21140.55912461413,10967.913234481224,10967.913234481224,,FW_MOLLUSCS.shp,"NatureServe, 2014",2016,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"NatureServe, 2014 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026."
315,62821344,2015-04-30T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/315/62821344,"Ormes, M. & Cordeiro, J. 2017. Acroloxus coloradensis. The IUCN Red List of Threatened Species 2017: e.T315A62821344. Accessed on 26 June 2026.",Acroloxus coloradensis,Rocky Mountain Capshell,NT,Unknown,,2000,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,-105.28071283930377,40.08008676470002,range_polygon,2,2,15,6,2,200,0.31395064700468633,1,Extant,1,Resident,315,self,21140.55912461413,6637.092215213432,6637.092215213432,,FW_MOLLUSCS.shp,"NatureServe, 2014",2016,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"NatureServe, 2014 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026."
618,91287686,2016-06-04T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/618/91287686,"Van Damme, D. 2016. Africanogyrus rodriguezensis. The IUCN Red List of Threatened Species 2016: e.T618A91287686. Accessed on 26 June 2026.",Africanogyrus rodriguezensis,,VU,Decreasing,,8,,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,63.42043626643433,-19.71480689109649,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,618,self,108.23105714265968,108.23105714265968,108.23105714265968,,FW_MOLLUSCS.shp,IUCN (International Union for Conservation of Nature),2016,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
619,91287776,2016-06-05T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/619/91287776,"Van Damme, D. 2016. Africanogyrus starmuehlneri. The IUCN Red List of Threatened Species 2016: e.T619A91287776. Accessed on 26 June 2026.",Africanogyrus starmuehlneri,,EN,Unknown,,400,,species,,[],GASTROPODA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",True,False,EN,47.121756687955305,-20.09603035852629,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,619,self,52178.81886372955,52178.81886372955,52178.81886372955,,FW_MOLLUSCS.shp,IUCN (International Union for Conservation of Nature),2016,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
774,3142336,2012-03-12T00:00:00.000+00:00,2012,https://www.iucnredlist.org/species/774/3142336,"Cummings, K., Cordeiro, J. & Perez, K. 2012. Alasmidonta atropurpurea. The IUCN Red List of Threatened Species 2012: e.T774A3142336. Accessed on 26 June 2026.",Alasmidonta atropurpurea,Cumberland Elktoe,EN,Decreasing,,500,,species,,[],BIVALVIA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",True,False,EN,-85.09678701461924,37.080051276601125,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,774,self,31683.2798538484,31683.2798538484,31683.2798538484,,FW_MOLLUSCS.shp,"NatureServe & Red List Index (Sampled Approach), Zoological Society of London",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"NatureServe & Red List Index (Sampled Approach), Zoological Society of London 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026."
775,13077570,2011-07-22T01:00:00.000+01:00,2011,https://www.iucnredlist.org/species/775/13077570,"Cummings, K. & Cordeiro, J. 2011. Alasmidonta heterodon. The IUCN Red List of Threatened Species 2011: e.T775A13077570. Accessed on 26 June 2026.",Alasmidonta heterodon,Dwarf Wedgemussel,VU,Decreasing,,500-2000,">20,000",species,,[],BIVALVIA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,-77.60915269749026,35.63892935696357,range_polygon,1,1,53,2,42,200,0.9999903686429673,1,Extant,1,Resident,775,self,132869.61057452872,132868.33085987048,132868.33085987048,,FW_MOLLUSCS.shp,"Red List Index (Sampled Approach), Zoological Society of London",2011,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"Red List Index (Sampled Approach), Zoological Society of London 2011. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026."
776,3142501,2012-03-12T00:00:00.000+00:00,2012,https://www.iucnredlist.org/species/776/3142501,"Cummings, K. & Cordeiro, J. 2012. Alasmidonta raveneliana. The IUCN Red List of Threatened Species 2012: e.T776A3142501. Accessed on 26 June 2026.",Alasmidonta raveneliana,Appalachian Elktoe,CR,Decreasing,,100,250-1000,species,,[],BIVALVIA,FW_MOLLUSCS,CR,"Crustaceans, Molluscs (not comprehensive)",True,False,CR,-83.05780169522122,35.64544606505948,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,776,self,18053.638358501143,18053.638358501143,18053.638358501143,,FW_MOLLUSCS.shp,"NatureServe & Red List Index (Sampled Approach), Zoological Society of London",2012,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,"NatureServe & Red List Index (Sampled Approach), Zoological Society of London 2012. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026."
781,69490583,2015-06-10T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/781/69490583,"Woolnough, D. & Bogan, A.E. 2017. Alasmidonta varicosa. The IUCN Red List of Threatened Species 2017: e.T781A69490583. Accessed on 26 June 2026.",Alasmidonta varicosa,Brook Floater,VU,Decreasing,,,1212773,species,,[],BIVALVIA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,-72.96389885190327,41.77223802501867,range_polygon,1,1,211,1,211,200,1.0,1,Extant,1,Resident,781,self,371752.89166885,371752.89166885,371752.89166885,,FW_MOLLUSCS.shp,Nature Serve and Department of Fisheries and Oceans Canada,2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Nature Serve and Department of Fisheries and Oceans Canada 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
980,13099938,2009-12-18T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/980/13099938,"Reischütz, P. 2010. Alzoniella hartwigschuetti. The IUCN Red List of Threatened Species 2010: e.T980A13099938. Accessed on 26 June 2026.",Alzoniella hartwigschuetti,,NT,Unknown,,500,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,15.704686465770175,48.09214681260111,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,980,self,11977.392667092463,11977.392667092463,11977.392667092463,,FW_MOLLUSCS.shp,IUCN (International Union for Conservation of Nature),2010,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2010. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
1262,3366218,2008-04-23T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/1262/3366218,"Van Damme, D. 2010. Ancylus ashangiensis. The IUCN Red List of Threatened Species 2010: e.T1262A3366218. Accessed on 26 June 2026.",Ancylus ashangiensis,,CR,Unknown,,3,27,species,,[],GASTROPODA,FW_MOLLUSCS,CR,"Crustaceans, Molluscs (not comprehensive)",True,False,CR,39.193063479770736,12.535590898334364,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,1262,self,3255.71174025582,3255.71174025582,3255.71174025582,,FW_MOLLUSCS.shp,IUCN (International Union for Conservation of Nature),2010,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2010. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
