taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
217267202,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptobotia bellacauda,,VU,"Fish (sharks, freshwater)"
173833219,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Melanorivulus wallacei,,NT,"Fish (sharks, freshwater)"
60420,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius quadralineatus,,EN,"Fish (sharks, freshwater)"
91105797,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Balitoropsis ophiolepis,,VU,"Fish (sharks, freshwater)"
173834759,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Planaltina kaingang,,NT,"Fish (sharks, freshwater)"
176407048,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Psalidodon endy,,VU,"Fish (sharks, freshwater)"
107626507,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Galaxias sp. nov. 'Heuningnes',,EN,"Fish (sharks, freshwater)"
217267214,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptobotia brachycephala,,NT,"Fish (sharks, freshwater)"
203084303,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Tachysurus pratti,,NT,"Fish (sharks, freshwater)"
186387,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cambeva igobi,Candiru,EN,"Fish (sharks, freshwater)"
107661846,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Marcusenius sp. nov. kosi,,EN,"Fish (sharks, freshwater)"
182296,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius cadenati,,VU,"Fish (sharks, freshwater)"
156302361,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Nothobranchius skeltoni,,VU,"Fish (sharks, freshwater)"
212785181,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Opsariichthys chengtui,,EN,"Fish (sharks, freshwater)"
151805981,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'Senegal River drainage',,VU,"Fish (sharks, freshwater)"
173832222,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypsolebias hamadryades,,CR,"Fish (sharks, freshwater)"
