taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
176992896,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Potamonautes ntendekaensis,,VU,"Other (Reptiles, Amphib., Crust.)"
134786,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Stoliczia tweedei,,VU,"Other (Reptiles, Amphib., Crust.)"
153739,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ombrastacoides dissitus,,NT,"Other (Reptiles, Amphib., Crust.)"
134543,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Tehuana poglayenorum,,EN,"Other (Reptiles, Amphib., Crust.)"
202899,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptobrachella khasiorum,,CR,"Other (Reptiles, Amphib., Crust.)"
150084116,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Gastrotheca turnerorum,,EN,"Other (Reptiles, Amphib., Crust.)"
163985045,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Dendrophryniscus lauroi,,EN,"Other (Reptiles, Amphib., Crust.)"
153622,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ombrastacoides pulcher,,VU,"Other (Reptiles, Amphib., Crust.)"
258941335,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Platypelis ando,,CR,"Other (Reptiles, Amphib., Crust.)"
154047510,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ischnocnema feioi,,NT,"Other (Reptiles, Amphib., Crust.)"
195897624,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ololygon feioi,,NT,"Other (Reptiles, Amphib., Crust.)"
44136476,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptopalaemon gudjangah,,VU,"Other (Reptiles, Amphib., Crust.)"
58013,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Stumpffia roseifemoralis,,EN,"Other (Reptiles, Amphib., Crust.)"
150084127,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Gastrotheca yacuri,,EN,"Other (Reptiles, Amphib., Crust.)"
165414176,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Minervarya goemchi,,EN,"Other (Reptiles, Amphib., Crust.)"
143844130,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Craugastor gutschei,,EN,"Other (Reptiles, Amphib., Crust.)"
153639,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Euastacus yarraensis,,VU,"Other (Reptiles, Amphib., Crust.)"
197170,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Rhinophis tricoloratus,,EN,"Other (Reptiles, Amphib., Crust.)"
163972037,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Dendrophryniscus davori,,CR,"Other (Reptiles, Amphib., Crust.)"
154048204,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ischnocnema parnaso,,VU,"Other (Reptiles, Amphib., Crust.)"
44136401,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptopalaemon gibbosus,,VU,"Other (Reptiles, Amphib., Crust.)"
152355538,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Boophis nauticus,,NT,"Other (Reptiles, Amphib., Crust.)"
153686,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Euastacus simplex,,VU,"Other (Reptiles, Amphib., Crust.)"
114139350,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Chiasmocleis altomontana,,VU,"Other (Reptiles, Amphib., Crust.)"
153819,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Procambarus vazquezae,,NT,"Other (Reptiles, Amphib., Crust.)"
178594655,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Pristimantis pluvian,,NT,"Other (Reptiles, Amphib., Crust.)"
91948901,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptobrachella pallida,,EN,"Other (Reptiles, Amphib., Crust.)"
176993126,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Potamonautes ngoyensis,,VU,"Other (Reptiles, Amphib., Crust.)"
150087273,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Megophrys feii,,NT,"Other (Reptiles, Amphib., Crust.)"
154029930,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Brachycephalus mirissimus,,CR,"Other (Reptiles, Amphib., Crust.)"
44136428,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptopalaemon magelensis,,VU,"Other (Reptiles, Amphib., Crust.)"
114139380,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Chiasmocleis veracruz,,EN,"Other (Reptiles, Amphib., Crust.)"
79076469,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Leptobrachella sabahmontana,,EN,"Other (Reptiles, Amphib., Crust.)"
172816631,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Eleutherodactylus geitonos,,EN,"Other (Reptiles, Amphib., Crust.)"
153722,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ombrastacoides asperrimanus,,NT,"Other (Reptiles, Amphib., Crust.)"
178765307,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cophyla fortuna,,EN,"Other (Reptiles, Amphib., Crust.)"
