taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url
81,137327979,2024-03-24T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/81/137327979,"Ford, M. 2024. Salmo ohridanus. The IUCN Red List of Threatened Species 2024: e.T81A137327979. Accessed on 19 June 2026.",Salmo ohridanus,Ohrid Belvica,EN,Unknown,,360,386,species,,[],ACTINOPTERYGII,SALMONIDS,EN,Fishes (not comprehensive),True,False,EN,20.727152605088893,41.04069795007263,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,81,self,355.6602327832233,355.6602327832233,355.6602327832233,,SALMONIDS.shp,Matthew Ford,2023,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Matthew Ford 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,81,self,Salmo_ohridanus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Salmo_ohridanus,https://www.wikidata.org/entity/Q134339,https://commons.wikimedia.org/wiki/Special:FilePath/Belvica%20%28Salmo%20ohridanus%29.jpg
222,97439806,2016-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/222/97439806,"Bolden, S.K. & Fox, D. 2022. Acipenser brevirostrum. The IUCN Red List of Threatened Species 2022: e.T222A97439806. Accessed on 19 June 2026.",Acipenser brevirostrum,Shortnose Sturgeon,VU,Stable,100000,6500,800000,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,VU,Fishes (not comprehensive),True,False,VU,-66.50907749519723,45.66280881656357,range_polygon,1,1,127,1,127,200,1.0,1,Extant,1,Resident,222,self,203136.0517356794,203136.0517356794,203136.0517356794,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,222,self,Shortnose_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Shortnose_sturgeon,https://www.wikidata.org/entity/Q737579,https://commons.wikimedia.org/wiki/Special:FilePath/Shortnose%20sturgeon%20at%20surface.jpg
223,58134229,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/223/58134229,"Haxton, T. & Bruch, R. 2022. Acipenser fulvescens. The IUCN Red List of Threatened Species 2022: e.T223A58134229. Accessed on 19 June 2026.",Acipenser fulvescens,Lake Sturgeon,EN,Unknown,140000,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EN,Fishes (not comprehensive),True,False,EN,-88.66260103422344,48.91223443830712,range_polygon,1,1,142,1,142,200,1.0,1,Extant,1,Resident,223,self,2657236.5560330693,2657236.5560330693,2657236.5560330693,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,223,self,Lake_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Lake_sturgeon,https://www.wikidata.org/entity/Q1387932,https://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Sturgeon%2C%20Juvenile%20%2853359232012%29.jpg
224,135061929,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/224/135061929,"Bronzi, P., Congiu, L. & Freyhof, J. 2022. Acipenser naccarii. The IUCN Red List of Threatened Species 2022: e.T224A135061929. Accessed on 19 June 2026.",Acipenser naccarii,Adriatic Sturgeon,CR,Increasing,50-100,2600,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,10.929712486101366,45.15674616546527,range_polygon,1,1,16,1,16,200,1.0,1,Extant,1,Resident,224,self,14328.747217813649,14328.747217813649,14328.747217813649,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,224,self,Adriatic_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Adriatic_sturgeon,https://www.wikidata.org/entity/Q376480,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20naccarii.001%20-%20Aquarium%20Finisterrae.jpg
225,227579266,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/225/227579266,"Freyhof, J., Chebanov, M. & Pourkazemi, M. 2022. Acipenser nudiventris (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T225A227579266. Accessed on 19 June 2026.",Acipenser nudiventris,Ship Sturgeon,CR,Decreasing,100,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,50.191996348104446,43.4446607273734,range_polygon,1,1,62,2,60,200,0.937673440022937,1,Extant,1,Resident,225,self,549686.9274821708,515426.83222784573,515426.83222784573,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,225,self,Bastard_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Bastard_sturgeon,https://www.wikidata.org/entity/Q846857,https://commons.wikimedia.org/wiki/Special:FilePath/Shipzaur%201.jpg
227,135062526,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/227/135062526,"Gessner, J., Freyhof, J., Kottelat, M. & Friedrich, T. 2022. Acipenser ruthenus. The IUCN Red List of Threatened Species 2022: e.T227A135062526. Accessed on 19 June 2026.",Acipenser ruthenus,Sterlet,EN,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EN,Fishes (not comprehensive),True,False,EN,30.93875901888207,45.0176828338257,range_polygon,1,2,119,2,85,200,0.5554734668906101,1,Extant,1,Resident,227,self,1787380.896671977,992842.6633284304,992842.6633284304,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,227,self,Sterlet,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Sterlet,https://www.wikidata.org/entity/Q211316,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20ruthenus%20Prague%20Vltava%201.jpg
227,135062526,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/227/135062526,"Gessner, J., Freyhof, J., Kottelat, M. & Friedrich, T. 2022. Acipenser ruthenus. The IUCN Red List of Threatened Species 2022: e.T227A135062526. Accessed on 19 June 2026.",Acipenser ruthenus,Sterlet,EN,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,EN,Fishes (not comprehensive),True,False,EN,88.35142215741374,63.3004333482281,range_polygon,2,2,119,2,34,200,0.4445265331093899,1,Extant,1,Resident,227,self,1787380.896671977,794538.2333435466,794538.2333435466,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,227,self,Sterlet,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Sterlet,https://www.wikidata.org/entity/Q211316,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20ruthenus%20Prague%20Vltava%201.jpg
228,227579879,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/228/227579879,"Qiwei, W. & Mugue, N. 2022. Acipenser schrenckii (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T228A227579879. Accessed on 19 June 2026.",Acipenser schrenckii,Amur Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,129.1027079728361,49.43986697375287,range_polygon,1,1,134,1,134,200,1.0,1,Extant,1,Resident,228,self,829742.9666320395,829742.9666320395,829742.9666320395,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,228,self,Amur_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Amur_sturgeon,https://www.wikidata.org/entity/Q481710,https://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20Sturgeon%20%28Acipenser%20schrenckii%29.jpg
229,135062806,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/229/135062806,"Mugue, N., Friedrich, T., Chebanov, M. & Ruban, G. 2022. Acipenser stellatus. The IUCN Red List of Threatened Species 2022: e.T229A135062806. Accessed on 19 June 2026.",Acipenser stellatus,Stellate Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,49.84158957241857,45.32328889243971,range_polygon,1,1,49,1,49,200,1.0,1,Extant,1,Resident,229,self,984627.654843705,984627.654843705,984627.654843705,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,229,self,Starry_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Starry_sturgeon,https://www.wikidata.org/entity/Q739541,https://commons.wikimedia.org/wiki/Special:FilePath/Acipenser%20stellatus.jpg
230,242530547,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/230/242530547,"Gessner, J., Williot, P., Rochard, E., Freyhof, J. & Kottelat, M. 2022. Acipenser sturio (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T230A242530547. Accessed on 19 June 2026.",Acipenser sturio,European Sturgeon,CR,Decreasing,20-750,520,,species,,[],ACTINOPTERYGII,STURGEONS_PADDLEFISHES,CR,Fishes (not comprehensive),True,False,CR,2.210537669297829,53.429516468188105,range_polygon,1,1,316,1,316,200,1.0,1,Extant,1,Resident,230,self,475757.5440350145,475757.5440350145,475757.5440350145,,STURGEONS_PADDLEFISHES.shp,IUCN SSC Sturgeon Specialist Group,2021,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN SSC Sturgeon Specialist Group 2021. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,230,self,European_sea_sturgeon,en,en.wikipedia.org,https://en.wikipedia.org/wiki/European_sea_sturgeon,https://www.wikidata.org/entity/Q300955,https://commons.wikimedia.org/wiki/Special:FilePath/St%C3%B6r%20-%20Sturgeon.jpg
