taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url,popularity
43,14255260,2016-04-07T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/43/14255260,"Dow, R.A. 2017. Acanthaeschna victoria. The IUCN Red List of Threatened Species 2017: e.T43A14255260. Accessed on 29 June 2026.",Acanthaeschna victoria,Thylacine Darner,EN,Decreasing,,32-500,121536,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",True,False,EN,152.53523496195362,-31.777456653500497,range_polygon,1,1,22,1,22,200,1.0,1,Extant,1,Resident,43,self,5721.77383221059,5721.77383221059,5721.77383221059,,FW_ODONATA.shp,I. Endersby & R.A. Dow,2016,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,I. Endersby & R.A. Dow 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,43,self,Acanthaeschna_victoria,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Acanthaeschna_victoria,https://www.wikidata.org/entity/Q307154,https://commons.wikimedia.org/wiki/Special:FilePath/Acanthaeschna%20victoria.jpg,362
984,13100344,2008-08-21T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/984/13100344,"Clausnitzer, V. 2010. Amanipodagrion gilliesi. The IUCN Red List of Threatened Species 2010: e.T984A13100344. Accessed on 29 June 2026.",Amanipodagrion gilliesi,,CR,Decreasing,,,,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",True,False,CR,38.61022847804191,-5.145391174135398,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,984,self,6258.09535023606,6258.09535023606,6258.09535023606,,FW_ODONATA.shp,Odonata Database Africa,2010,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,Odonata Database Africa 2010. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,984,self,Amanipodagrion,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Amanipodagrion,https://www.wikidata.org/entity/Q307220,,868
2424,14272233,2016-04-17T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/2424/14272233,"Dow, R.A. 2019. Austrocordulia leonardi. The IUCN Red List of Threatened Species 2019: e.T2424A14272233. Accessed on 29 June 2026.",Austrocordulia leonardi,Sydney Hawk,VU,Decreasing,,20-500,5358-19703,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",True,True,VU,150.76797667309245,-34.21468513372727,range_polygon,1,1,3,1,3,200,1.0,1,Extant,1,Resident,2424,self,6177.245466389992,6177.245466389992,6177.245466389992,,FW_ODONATA.shp,I. Endersby & R.A. Dow,2016,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,I. Endersby & R.A. Dow 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,2424,self,Austrocordulia_leonardi,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Austrocordulia_leonardi,https://www.wikidata.org/entity/Q307137,https://commons.wikimedia.org/wiki/Special:FilePath/Austrocordulia%20leonardi%20male%20wings%20%2834248505573%29%20%282%29.jpg,504
2875,122058507,2017-12-08T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/2875/122058507,"Karube, H., Nishihara, S. & Futahashi, R. 2020. Ischnura ezoin. The IUCN Red List of Threatened Species 2020: e.T2875A122058507. Accessed on 29 June 2026.",Ischnura ezoin,Ogasawara-itotombo,EN,Decreasing,,32,258,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",True,False,EN,142.16544688208836,26.65799169234506,range_polygon,1,1,17,1,17,200,1.0,1,Extant,1,Resident,2875,self,109.23082122747807,109.23082122747807,109.23082122747807,,FW_ODONATA.shp,IUCN (International Union for Conservation of Nature),2019,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,2875,self,Ischnura_ezoin,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Ischnura_ezoin,https://www.wikidata.org/entity/Q13972916,,208
2882,9490176,1996-08-01T01:00:00.000+01:00,1996,https://www.iucnredlist.org/species/2882/9490176,Odonata Specialist Group 1996. Boninthemis insularis. The IUCN Red List of Threatened Species 1996: e.T2882A9490176. Accessed on 29 June 2026.,Boninthemis insularis,Shima-akane,CR,,,,,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",True,False,CR,142.19673239309202,27.123566294504375,range_polygon,1,1,5,1,5,200,1.0,1,Extant,1,Resident,2882,self,9.746697291727031,9.746697291727031,9.746697291727031,,FW_ODONATA.shp,IUCN/SSC Odonata Specialist Group,2008,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN/SSC Odonata Specialist Group 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,2882,self,Boninthemis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Boninthemis,https://www.wikidata.org/entity/Q305360,https://commons.wikimedia.org/wiki/Special:FilePath/Boninthemis%20insularis%20imported%20from%20iNaturalist%20photo%20230287424%20on%205%20November%202023.jpg,285
6973,12818297,2007-04-01T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/6973/12818297,"Samways, M.J. 2010. Ecchlorolestes nylephtha. The IUCN Red List of Threatened Species 2010: e.T6973A12818297. Accessed on 29 June 2026.",Ecchlorolestes nylephtha,Queen Malachite,NT,Stable,,0-400,400,species,,[],INSECTA,FW_ODONATA,NT,"Insects, other invertebrates (not comprehensive)",True,False,NT,20.623624543399547,-33.42632320186501,range_polygon,1,1,7,1,7,200,1.0,6,Presence Uncertain,5,Seasonality Uncertain,6973,self,100533.37496914648,100533.37496914648,100533.37496914648,,FW_ODONATA.shp,IUCN (International Union for Conservation of Nature),2010,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2010. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,6973,self,Ecchlorolestes_nylephtha,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Ecchlorolestes_nylephtha,https://www.wikidata.org/entity/Q307144,https://commons.wikimedia.org/wiki/Special:FilePath/Chlorolestes%20nylephtha%20Queen%20Malachite%202013%2002%2025.jpg,199
7832,12853654,2007-03-01T00:00:00.000+00:00,2009,https://www.iucnredlist.org/species/7832/12853654,"Paulson, D. R. 2009. Epigomphus camelus. The IUCN Red List of Threatened Species 2009: e.T7832A12853654. Accessed on 29 June 2026.",Epigomphus camelus,Humped Knobtail,EN,Unknown,,,1-1999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",True,False,EN,-84.03422053528288,10.116747227288712,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,7832,self,3342.4956386471463,3342.4956386471463,3342.4956386471463,,FW_ODONATA.shp,D.R. Paulson & IUCN/SSC Odonata Specialist Group,2008,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,D.R. Paulson & IUCN/SSC Odonata Specialist Group 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,7832,self,Epigomphus_camelus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Epigomphus_camelus,https://www.wikidata.org/entity/Q306297,,145
7833,176245387,2007-03-01T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/7833/176245387,"Paulson, D. R. 2020. Epigomphus clavatus (amended version of 2009 assessment). The IUCN Red List of Threatened Species 2020: e.T7833A176245387. Accessed on 29 June 2026.",Epigomphus clavatus,Guatemalan Knobtail,EN,Unknown,,,1-999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",True,False,EN,-91.22205054959602,15.823145478676096,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,7833,self,3294.582096159464,3294.582096159464,3294.582096159464,,FW_ODONATA.shp,D.R. Paulson & IUCN/SSC Odonata Specialist Group,2008,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,D.R. Paulson & IUCN/SSC Odonata Specialist Group 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,7833,self,Epigomphus_clavatus,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Epigomphus_clavatus,https://www.wikidata.org/entity/Q306158,,149
7836,12854505,2007-03-01T00:00:00.000+00:00,2009,https://www.iucnredlist.org/species/7836/12854505,"Paulson, D. R. 2009. Epigomphus subsimilis. The IUCN Red List of Threatened Species 2009: e.T7836A12854505. Accessed on 29 June 2026.",Epigomphus subsimilis,Alajuela Knobtail,EN,Unknown,,,1-999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",True,False,EN,-84.41407734897587,9.871845698792146,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,7836,self,2734.156858704075,2734.156858704075,2734.156858704075,,FW_ODONATA.shp,D.R. Paulson & IUCN/SSC Odonata Specialist Group,2008,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,D.R. Paulson & IUCN/SSC Odonata Specialist Group 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,7836,self,Epigomphus_subsimilis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Epigomphus_subsimilis,https://www.wikidata.org/entity/Q307170,,104
9871,122058246,2017-12-07T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/9871/122058246,"Karube, H. 2020. Hemicordulia ogasawarensis. The IUCN Red List of Threatened Species 2020: e.T9871A122058246. Accessed on 29 June 2026.",Hemicordulia ogasawarensis,Ogasawara-tombo,EN,Decreasing,,20,21,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",True,False,EN,142.20541519411643,27.09121442917237,range_polygon,1,1,6,1,6,200,1.0,1,Extant,1,Resident,9871,self,57.2117288033309,57.2117288033309,57.2117288033309,,FW_ODONATA.shp,IUCN (International Union for Conservation of Nature),2019,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2019. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,9871,self,Hemicordulia_ogasawarensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Hemicordulia_ogasawarensis,https://www.wikidata.org/entity/Q2235603,,129
