taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit,wiki_lookup_taxonid,wiki_lookup_source,wiki_title,wiki_language,wiki_project,wiki_url,wikidata_url,wikidata_image_url,popularity
2425,18607247,2013-08-08T01:00:00.000+01:00,2014,https://www.iucnredlist.org/species/2425/18607247,"Preston, T. 2014. Austrogammarus australis. The IUCN Red List of Threatened Species 2014: e.T2425A18607247. Accessed on 29 June 2026.",Austrogammarus australis,Dandenong Freshwater Amphipod,CR,Unknown,,5,35,species,,[],MALACOSTRACA,FW_OTHER,CR,Fishes (not comprehensive),True,False,CR,145.36337584037295,-37.86043410923585,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,2425,self,21.375486424808173,21.375486424808173,21.375486424808173,,FW_OTHER_PART3.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,2425,self,Austrogammarus_australis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Austrogammarus_australis,https://www.wikidata.org/entity/Q1617630,https://commons.wikimedia.org/wiki/Special:FilePath/Austrogammarus%20australis.JPG,946
4846,21424194,2013-12-12T00:00:00.000+00:00,2014,https://www.iucnredlist.org/species/4846/21424194,"Kinsley, B. 2014. Cicindela columbica. The IUCN Red List of Threatened Species 2014: e.T4846A21424194. Accessed on 29 June 2026.",Cicindela columbica,Columbia River Tiger Beetle,EN,Unknown,,10,400,species,,[],INSECTA,FW_OTHER,EN,Fishes (not comprehensive),True,False,EN,-116.31272340097352,45.80017714761293,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,4846,self,61.55813803540077,61.55813803540077,61.55813803540077,,FW_OTHER_PART2.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,4846,self,Cicindela_columbica,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Cicindela_columbica,https://www.wikidata.org/entity/Q1381755,,330
4851,21424216,2013-12-12T00:00:00.000+00:00,2014,https://www.iucnredlist.org/species/4851/21424216,"Kinsley, B. 2014. Cicindela marginipennis. The IUCN Red List of Threatened Species 2014: e.T4851A21424216. Accessed on 29 June 2026.",Cicindela marginipennis,Cobblestone Tiger Beetle,VU,Unknown,,120,20000-200000,species,,[],INSECTA,FW_OTHER,VU,Fishes (not comprehensive),True,False,VU,-80.31503458795774,39.48710666196488,range_polygon,1,1,65,1,65,200,1.0,1,Extant,1,Resident,4851,self,1192302.59051265,1192302.59051265,1192302.59051265,,FW_OTHER_PART3.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,4851,self,Cicindela_marginipennis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Cicindela_marginipennis,https://www.wikidata.org/entity/Q1381781,https://commons.wikimedia.org/wiki/Special:FilePath/Cicindela%20marginipennis%2013819058.jpg,426
7037,21425779,2013-01-25T00:00:00.000+00:00,2014,https://www.iucnredlist.org/species/7037/21425779,"Gerlach, J. 2014. Edwardsina tasmaniensis. The IUCN Red List of Threatened Species 2014: e.T7037A21425779. Accessed on 29 June 2026.",Edwardsina tasmaniensis,Tasmanian Torrent Midge,VU,Unknown,,5,5000,species,,[],INSECTA,FW_OTHER,VU,Fishes (not comprehensive),True,False,VU,146.63409411358683,-42.020713564358715,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,7037,self,3134.701960791732,3134.701960791732,3134.701960791732,,FW_OTHER_PART2.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,7037,self,Edwardsina_tasmaniensis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Edwardsina_tasmaniensis,https://www.wikidata.org/entity/Q1316783,,241
8423,21426281,2013-04-10T01:00:00.000+01:00,2014,https://www.iucnredlist.org/species/8423/21426281,"Suter, P. 2014. Eusthenia nothofagi. The IUCN Red List of Threatened Species 2014: e.T8423A21426281. Accessed on 29 June 2026.",Eusthenia nothofagi,Otway Stonefly,VU,Unknown,,500,1540,species,,[],INSECTA,FW_OTHER,VU,Fishes (not comprehensive),True,False,VU,143.6580350859212,-38.587572009161846,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,8423,self,1899.1161161728053,1899.1161161728053,1899.1161161728053,,FW_OTHER_PART2.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,8423,self,Eusthenia_nothofagi,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Eusthenia_nothofagi,https://www.wikidata.org/entity/Q1617950,https://commons.wikimedia.org/wiki/Special:FilePath/Eusthenia%20nothofagi.jpg,329
10190,21415816,2013-12-19T00:00:00.000+00:00,2014,https://www.iucnredlist.org/species/10190/21415816,"Utevsky, S., Zagmajster, M. & Trontelj, P. 2014. Hirudo medicinalis. The IUCN Red List of Threatened Species 2014: e.T10190A21415816. Accessed on 29 June 2026.",Hirudo medicinalis,European Medicinal Leech,NT,Unknown,,105539,4945613,species,,[],CLITELLATA,FW_OTHER,NT,Fishes (not comprehensive),True,False,NT,22.720538590902475,53.86779283349619,range_polygon,1,1,1483,1,1483,200,1.0,1,Extant,1,Resident,10190,self,3796305.758726122,3796305.758726122,3796305.758726122,,FW_OTHER_PART4.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10190,self,Hirudo_medicinalis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Hirudo_medicinalis,https://www.wikidata.org/entity/Q30041,https://commons.wikimedia.org/wiki/Special:FilePath/Sv%C3%B8mmende%20blodigle.JPG,62119
11726,21426303,2013-03-12T00:00:00.000+00:00,2014,https://www.iucnredlist.org/species/11726/21426303,"Suter, P. 2014. Leptoperla cacuminis. The IUCN Red List of Threatened Species 2014: e.T11726A21426303. Accessed on 29 June 2026.",Leptoperla cacuminis,Mount Kosciusko Wingless Stonefly,VU,Unknown,,1,1,species,,[],INSECTA,FW_OTHER,VU,Fishes (not comprehensive),True,False,VU,148.26555674724983,-36.45663257530383,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11726,self,0.2132662255364502,0.2132662255364502,0.2132662255364502,,FW_OTHER_PART1.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,11726,self,Leptoperla_cacuminis,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Leptoperla_cacuminis,https://www.wikidata.org/entity/Q1623366,https://commons.wikimedia.org/wiki/Special:FilePath/Nemoura%20cinerea%20nymph.jpg,140
14316,21423276,2024-12-15T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/14316/21423276,"Martens, K. & Cox, N.A. 2025. Namibcypris costata. The IUCN Red List of Threatened Species 2025: e.T14316A21423276. Accessed on 29 June 2026.",Namibcypris costata,,CR,Decreasing,,8,8,species,,[],OSTRACODA,FW_OTHER,CR,Fishes (not comprehensive),True,False,CR,13.633012895080448,-19.043054977418315,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,14316,self,411.502713944814,411.502713944814,411.502713944814,,FW_OTHER_PART2.shp,IUCN (International Union for Conservation of Nature),2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,14316,self,Namibcypris_costata,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Namibcypris_costata,https://www.wikidata.org/entity/Q1613600,https://commons.wikimedia.org/wiki/Special:FilePath/Namibcypris%20costata.jpg,570
19730,21426325,2013-03-01T00:00:00.000+00:00,2014,https://www.iucnredlist.org/species/19730/21426325,"Suter, P. 2014. Riekoperla darlingtoni. The IUCN Red List of Threatened Species 2014: e.T19730A21426325. Accessed on 29 June 2026.",Riekoperla darlingtoni,Mount Donna Buang Wingless Stonefly,CR,Decreasing,,"2-4,3",4,species,,[],INSECTA,FW_OTHER,CR,Fishes (not comprehensive),True,False,CR,145.6846171386667,-37.699308711689454,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19730,self,3.639855986046448,3.639855986046448,3.639855986046448,,FW_OTHER_PART4.shp,IUCN (International Union for Conservation of Nature),2014,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2014. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,19730,self,Riekoperla_darlingtoni,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Riekoperla_darlingtoni,https://www.wikidata.org/entity/Q5463689,https://commons.wikimedia.org/wiki/Special:FilePath/Riekoperla%20darlingtoni.jpg,685
19741,21426805,2024-12-06T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/19741/21426805,"Richards, K. 2025. Romankenkius pedderensis. The IUCN Red List of Threatened Species 2025: e.T19741A21426805. Accessed on 29 June 2026.",Romankenkius pedderensis,Lake Pedder Planarian,NT,Unknown,,,,species,,[],TURBELLARIA,FW_OTHER,NT,Fishes (not comprehensive),True,False,NT,146.10078426085963,-42.90691012347959,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,19741,self,255.79958140429005,255.79958140429005,255.79958140429005,,FW_OTHER_PART1.shp,IUCN (International Union for Conservation of Nature),2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,IUCN (International Union for Conservation of Nature) 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,19741,self,Lake_Pedder_planarian,en,en.wikipedia.org,https://en.wikipedia.org/wiki/Lake_Pedder_planarian,https://www.wikidata.org/entity/Q2006135,,515
