taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
22678073,219615764,2022-08-12T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678073/219615764,BirdLife International 2022. Rhea americana. The IUCN Red List of Threatened Species 2022: e.T22678073A219615764. Accessed on 19 June 2026.,Rhea americana,Greater Rhea,NT,Decreasing,U,,8740000,species,,[],AVES,BIRDS,,Birds,22678073,self,True,False,NT
22678122,214272214,2022-08-11T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678122/214272214,BirdLife International 2022. Apteryx australis. The IUCN Red List of Threatened Species 2022: e.T22678122A214272214. Accessed on 19 June 2026.,Apteryx australis,Southern Brown Kiwi,VU,Decreasing,16500,,69300,species,,[],AVES,BIRDS,,Birds,22678122,self,True,False,VU
22678129,214096691,2022-05-30T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678129/214096691,BirdLife International 2022. Apteryx owenii. The IUCN Red List of Threatened Species 2022: e.T22678129A214096691. Accessed on 19 June 2026.,Apteryx owenii,Little Spotted Kiwi,NT,Increasing,1500,340,296000,species,,[],AVES,BIRDS,,Birds,22678129,self,True,False,NT
22678132,214091794,2022-08-10T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678132/214091794,BirdLife International 2022. Apteryx haastii. The IUCN Red List of Threatened Species 2022: e.T22678132A214091794. Accessed on 19 June 2026.,Apteryx haastii,Great Spotted Kiwi,VU,Decreasing,9300,,21900,species,,[],AVES,BIRDS,,Birds,22678132,self,True,False,VU
22678135,136638024,2018-10-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678135/136638024,BirdLife International 2019. Tinamus tao. The IUCN Red List of Threatened Species 2019: e.T22678135A136638024. Accessed on 19 June 2026.,Tinamus tao,Grey Tinamou,VU,Decreasing,100000-499999,,8520000,species,,[],AVES,BIRDS,,Birds,22678135,self,True,False,VU
22678139,136639334,2018-10-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678139/136639334,BirdLife International 2019. Tinamus solitarius. The IUCN Red List of Threatened Species 2019: e.T22678139A136639334. Accessed on 19 June 2026.,Tinamus solitarius,Solitary Tinamou,NT,Decreasing,50000-200000,,1930000,species,,[],AVES,BIRDS,,Birds,22678139,self,True,False,NT
22678145,136641166,2018-10-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678145/136641166,BirdLife International 2019. Tinamus osgoodi. The IUCN Red List of Threatened Species 2019: e.T22678145A136641166. Accessed on 19 June 2026.,Tinamus osgoodi,Black Tinamou,VU,Decreasing,1900-4400,,969000,species,,[],AVES,BIRDS,,Birds,22678145,self,True,False,VU
22678151,136647817,2019-08-15T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/22678151/136647817,BirdLife International 2019. Tinamus guttatus. The IUCN Red List of Threatened Species 2019: e.T22678151A136647817. Accessed on 19 June 2026.,Tinamus guttatus,White-throated Tinamou,NT,Decreasing,200000-500000,,5250000,species,,[],AVES,BIRDS,,Birds,22678151,self,True,False,NT
22678185,136903049,2020-04-02T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/22678185/136903049,BirdLife International 2020. Crypturellus transfasciatus. The IUCN Red List of Threatened Species 2020: e.T22678185A136903049. Accessed on 19 June 2026.,Crypturellus transfasciatus,Pale-browed Tinamou,NT,Decreasing,U,,99200,species,,[],AVES,BIRDS,,Birds,22678185,self,True,False,NT
22678191,136877151,2021-10-10T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/22678191/136877151,BirdLife International 2022. Crypturellus boucardi. The IUCN Red List of Threatened Species 2022: e.T22678191A136877151. Accessed on 19 June 2026.,Crypturellus boucardi,Slaty-breasted Tinamou,VU,Decreasing,20000-49999,,742000,species,,[],AVES,BIRDS,,Birds,22678191,self,True,False,VU
22678194,221478339,2023-02-20T00:00:00.000+00:00,2023,https://www.iucnredlist.org/species/22678194/221478339,BirdLife International 2023. Crypturellus kerriae. The IUCN Red List of Threatened Species 2023: e.T22678194A221478339. Accessed on 19 June 2026.,Crypturellus kerriae,Choco Tinamou,NT,Decreasing,1300-7800,3464,18770,species,,[],AVES,BIRDS,,Birds,22678194,self,True,False,NT
22678217,221182790,2022-09-15T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/22678217/221182790,BirdLife International 2023. Crypturellus noctivagus. The IUCN Red List of Threatened Species 2023: e.T22678217A221182790. Accessed on 19 June 2026.,Crypturellus noctivagus,Yellow-legged Tinamou,NT,Decreasing,10000-19999,,2230000,species,,[],AVES,BIRDS,,Birds,22678217,self,True,False,NT
22678246,131106939,2018-08-07T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/22678246/131106939,BirdLife International 2018. Nothoprocta taczanowskii. The IUCN Red List of Threatened Species 2018: e.T22678246A131106939. Accessed on 19 June 2026.,Nothoprocta taczanowskii,Taczanowski's Tinamou,VU,Decreasing,1500-7000,,74200,species,,[],AVES,BIRDS,,Birds,22678246,self,True,False,VU
