taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
9,13090494,2011-01-17T00:00:00.000+00:00,2011,https://www.iucnredlist.org/species/9/13090494,"Vidthayanon, C. 2011. Aaptosyax grypus. The IUCN Red List of Threatened Species 2011: e.T9A13090494. Accessed on 19 June 2026.",Aaptosyax grypus,Mekong Giant Salmon Carp,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",9,self,True,False,CR
79,150839809,2019-08-07T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/79/150839809,"Fernado, M., Kotagama, O. & de Alwis Goonatilake, S. 2019. Paracanthocobitis urophthalma. The IUCN Red List of Threatened Species 2019: e.T79A150839809. Accessed on 19 June 2026.",Paracanthocobitis urophthalma,Tiger Loach,EN,Decreasing,,148.000,5059.271,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",79,self,True,True,EN
81,137327979,2024-03-24T00:00:00.000+00:00,2024,https://www.iucnredlist.org/species/81/137327979,"Ford, M. 2024. Salmo ohridanus. The IUCN Red List of Threatened Species 2024: e.T81A137327979. Accessed on 19 June 2026.",Salmo ohridanus,Ohrid Belvica,EN,Unknown,,360,386,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",81,self,True,False,EN
212,13052083,2008-01-01T00:00:00.000+00:00,2008,https://www.iucnredlist.org/species/212/13052083,"Chen, X.-Y. & Yang, J. 2008. Acheilognathus elongatus. The IUCN Red List of Threatened Species 2008: e.T212A13052083. Accessed on 19 June 2026.",Acheilognathus elongatus,Elongate Bitterling,CR,Unknown,,58,58,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",212,self,True,False,CR
213,116034178,2017-12-07T00:00:00.000+00:00,2019,https://www.iucnredlist.org/species/213/116034178,"Hasegawa, K., Kanao, S., Miyazaki, Y., Mukai, T., Nakajima, J., Takaku, K. & Taniguchi, Y. 2019. Acheilognathus longipinnis. The IUCN Red List of Threatened Species 2019: e.T213A116034178. Accessed on 19 June 2026.",Acheilognathus longipinnis,Deepbodied Bitterling,EN,Decreasing,,36,9060,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",213,self,True,False,EN
222,97439806,2016-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/222/97439806,"Bolden, S.K. & Fox, D. 2022. Acipenser brevirostrum. The IUCN Red List of Threatened Species 2022: e.T222A97439806. Accessed on 19 June 2026.",Acipenser brevirostrum,Shortnose Sturgeon,VU,Stable,100000,6500,800000,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",222,self,True,False,VU
223,58134229,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/223/58134229,"Haxton, T. & Bruch, R. 2022. Acipenser fulvescens. The IUCN Red List of Threatened Species 2022: e.T223A58134229. Accessed on 19 June 2026.",Acipenser fulvescens,Lake Sturgeon,EN,Unknown,140000,,,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",223,self,True,False,EN
224,135061929,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/224/135061929,"Bronzi, P., Congiu, L. & Freyhof, J. 2022. Acipenser naccarii. The IUCN Red List of Threatened Species 2022: e.T224A135061929. Accessed on 19 June 2026.",Acipenser naccarii,Adriatic Sturgeon,CR,Increasing,50-100,2600,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",224,self,True,False,CR
225,227579266,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/225/227579266,"Freyhof, J., Chebanov, M. & Pourkazemi, M. 2022. Acipenser nudiventris (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T225A227579266. Accessed on 19 June 2026.",Acipenser nudiventris,Ship Sturgeon,CR,Decreasing,100,,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",225,self,True,False,CR
227,135062526,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/227/135062526,"Gessner, J., Freyhof, J., Kottelat, M. & Friedrich, T. 2022. Acipenser ruthenus. The IUCN Red List of Threatened Species 2022: e.T227A135062526. Accessed on 19 June 2026.",Acipenser ruthenus,Sterlet,EN,Decreasing,,,,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",227,self,True,False,EN
228,227579879,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/228/227579879,"Qiwei, W. & Mugue, N. 2022. Acipenser schrenckii (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T228A227579879. Accessed on 19 June 2026.",Acipenser schrenckii,Amur Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",228,self,True,False,CR
229,135062806,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/229/135062806,"Mugue, N., Friedrich, T., Chebanov, M. & Ruban, G. 2022. Acipenser stellatus. The IUCN Red List of Threatened Species 2022: e.T229A135062806. Accessed on 19 June 2026.",Acipenser stellatus,Stellate Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",229,self,True,False,CR
230,242530547,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/230/242530547,"Gessner, J., Williot, P., Rochard, E., Freyhof, J. & Kottelat, M. 2022. Acipenser sturio (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T230A242530547. Accessed on 19 June 2026.",Acipenser sturio,European Sturgeon,CR,Decreasing,20-750,520,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",230,self,True,False,CR
231,61462199,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/231/61462199,"Qiwei, W. 2022. Acipenser dabryanus. The IUCN Red List of Threatened Species 2022: e.T231A61462199. Accessed on 19 June 2026.",Acipenser dabryanus,Yangtze Sturgeon,EW,,0,,,species,,[],ACTINOPTERYGII,FW_FISH,EW,"Fish (sharks, freshwater)",231,self,True,False,EW
232,135063140,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/232/135063140,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser gueldenstaedtii. The IUCN Red List of Threatened Species 2022: e.T232A135063140. Accessed on 19 June 2026.",Acipenser gueldenstaedtii,Russian Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",232,self,True,False,CR
233,97433481,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/233/97433481,"Moser, M. 2022. Acipenser medirostris. The IUCN Red List of Threatened Species 2022: e.T233A97433481. Accessed on 19 June 2026.",Acipenser medirostris,Green Sturgeon,EN,Unknown,5000-6000,1500,1316953,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",233,self,True,False,EN
234,97440736,2020-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/234/97440736,"Crossman, J. & Hildebrand, L. 2022. Acipenser transmontanus. The IUCN Red List of Threatened Species 2022: e.T234A97440736. Accessed on 19 June 2026.",Acipenser transmontanus,White Sturgeon,VU,Stable,,10000,,species,,[],ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",234,self,True,False,VU
235,135063465,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/235/135063465,"Gessner, J., Freyhof, J. & Kottelat, M. 2022. Acipenser persicus. The IUCN Red List of Threatened Species 2022: e.T235A135063465. Accessed on 19 June 2026.",Acipenser persicus,Persian Sturgeon,CR,Decreasing,200,90,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",235,self,True,False,CR
236,219152605,2019-09-15T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/236/219152605,"Qiwei, W. 2022. Acipenser sinensis (amended version of 2022 assessment). The IUCN Red List of Threatened Species 2022: e.T236A219152605. Accessed on 19 June 2026.",Acipenser sinensis,Chinese Sturgeon,CR,Decreasing,,10,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",236,self,True,False,CR
241,227578157,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/241/227578157,"Chebanov, M., Mugue, N. & Qiwei, W. 2022. Acipenser mikadoi (errata version published in 2023). The IUCN Red List of Threatened Species 2022: e.T241A227578157. Accessed on 19 June 2026.",Acipenser mikadoi,Sakhalin Sturgeon,CR,Decreasing,50,100,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",241,self,True,False,CR
244,156718817,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/244/156718817,"Ruban, G. & Mugue, N. 2022. Acipenser baerii. The IUCN Red List of Threatened Species 2022: e.T244A156718817. Accessed on 19 June 2026.",Acipenser baerii,Siberian Sturgeon,CR,Decreasing,,,,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",244,self,True,False,CR
245,2785934,2019-09-14T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/245/2785934,"Hilton, E. & Fox, D. 2022. Acipenser oxyrinchus. The IUCN Red List of Threatened Species 2022: e.T245A2785934. Accessed on 19 June 2026.",Acipenser oxyrinchus,Atlantic Sturgeon,VU,Increasing,10000,20000,,species,,"[242, 243]",ACTINOPTERYGII,FW_FISH,VU,"Fish (sharks, freshwater)",245,self,True,False,VU
