taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
20,2774433,2012-05-07T01:00:00.000+01:00,2013,https://www.iucnredlist.org/species/20/2774433,"Townsend, J.H. & Köhler , G. 2013. Abronia montecristoi. The IUCN Red List of Threatened Species 2013: e.T20A2774433. Accessed on 21 June 2026.",Abronia montecristoi,Monte Cristo Arboreal Alligator Lizard,EN,Decreasing,,,800,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",20,self,True,False,EN
75,217758862,2014-07-12T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/75/217758862,"Vinke, T. & Vinke, S. 2022. Acanthochelys pallidipectoris (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2022: e.T75A217758862. Accessed on 21 June 2026.",Acanthochelys pallidipectoris,Chaco Side-necked Turtle,EN,Decreasing,"500-5000, 1000",,,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",75,self,True,False,EN
161,96877297,2016-12-03T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/161/96877297,"Kidera, N. & Ota, H. 2017. Achalinus werneri. The IUCN Red List of Threatened Species 2017: e.T161A96877297. Accessed on 21 June 2026.",Achalinus werneri,Amami Takachiho Snake,NT,Unknown,,2265.64,12589.5,species,,[],REPTILIA,REPTILES,NT,"Other (Reptiles, Amphib., Crust.)",161,self,True,False,NT
521,3014000,2012-05-07T01:00:00.000+01:00,2014,https://www.iucnredlist.org/species/521/3014000,"Acevedo, M., Ariano-Sánchez, D. & Johnson, J. 2014. Adelphicos daryi. The IUCN Red List of Threatened Species 2014: e.T521A3014000. Accessed on 21 June 2026.",Adelphicos daryi,Dary's Burrowing Snake,EN,Unknown,,,300,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",521,self,True,False,EN
592,134452846,2019-10-04T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/592/134452846,"Cumberlidge, N. & Daniels, S. 2020. Afrithelphusa leonensis. The IUCN Red List of Threatened Species 2020: e.T592A134452846. Accessed on 21 June 2026.",Afrithelphusa leonensis,,CR,Decreasing,,4,4,species,,[],MALACOSTRACA,FW_CRABS,CR,"Other (Reptiles, Amphib., Crust.)",592,self,True,False,CR
594,134452404,2019-10-04T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/594/134452404,"Cumberlidge, N. & Daniels, S. 2020. Afrithelphusa afzelii. The IUCN Red List of Threatened Species 2020: e.T594A134452404. Accessed on 21 June 2026.",Afrithelphusa afzelii,,CR,Decreasing,,4,4,species,,[],MALACOSTRACA,FW_CRABS,CR,"Other (Reptiles, Amphib., Crust.)",594,self,True,False,CR
595,134453041,2020-01-21T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/595/134453041,"Cumberlidge, N. & Daniels, S. 2020. Afrithelphusa monodosa. The IUCN Red List of Threatened Species 2020: e.T595A134453041. Accessed on 21 June 2026.",Afrithelphusa monodosa,Purple Marsh Crab,EN,Decreasing,,8,,species,,[],MALACOSTRACA,FW_CRABS,EN,"Other (Reptiles, Amphib., Crust.)",595,self,True,False,EN
840,137842545,2022-10-08T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/840/137842545,"Bowles, P. 2024. Algyroides hidalgoi. The IUCN Red List of Threatened Species 2024: e.T840A137842545. Accessed on 21 June 2026.",Algyroides hidalgoi,Lagartija de Valverde,EN,Decreasing,,504,4057,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",840,self,True,False,EN
867,3146005,2017-07-31T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/867/3146005,"Jiang, H.-X. & Wu, X. 2018. Alligator sinensis. The IUCN Red List of Threatened Species 2018: e.T867A3146005. Accessed on 21 June 2026.",Alligator sinensis,Chinese Alligator,CR,Stable,68-86,5,43,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",867,self,True,False,CR
928,79808332,2016-08-04T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/928/79808332,IUCN SSC Amphibian Specialist Group 2017. Alsodes barrioi. The IUCN Red List of Threatened Species 2017: e.T928A79808332. Accessed on 21 June 2026.,Alsodes barrioi,Cabreria Spiny-chest Frog,EN,Stable,,,1074.32,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",928,self,True,False,EN
929,79808437,2015-07-09T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/929/79808437,IUCN SSC Amphibian Specialist Group 2016. Alsodes montanus. The IUCN Red List of Threatened Species 2016: e.T929A79808437. Accessed on 21 June 2026.,Alsodes montanus,Mountain Spiny-chest Frog,VU,Decreasing,,2000,5252.19,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",929,self,True,False,VU
932,79808564,2018-06-18T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/932/79808564,IUCN SSC Amphibian Specialist Group 2019. Alsodes vanzolinii. The IUCN Red List of Threatened Species 2019: e.T932A79808564. Accessed on 21 June 2026.,Alsodes vanzolinii,Vanzolini's Spiny-chest Frog,EN,Decreasing,,,4586.79,species,,[],AMPHIBIA,AMPHIBIANS,EN,"Other (Reptiles, Amphib., Crust.)",932,self,True,False,EN
939,71739009,2015-07-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/939/71739009,"Daltry, J.C. & Mayer, G.C. 2016. Alsophis antiguae. The IUCN Red List of Threatened Species 2016: e.T939A71739009. Accessed on 21 June 2026.",Alsophis antiguae,Antiguan Racer,CR,Increasing,,,,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",939,self,True,False,CR
940,115053626,2015-07-21T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/940/115053626,"Hedges, B., Wilson, B.S. & Gibson, R. 2016. Hypsirhynchus ater (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T940A115053626. Accessed on 21 June 2026.",Hypsirhynchus ater,Jamaican Racer,CR,Decreasing,40,,13505,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",940,self,True,False,CR
941,115053801,2015-07-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/941/115053801,"Daltry, J.C. 2016. Alsophis rijgersmaei (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T941A115053801. Accessed on 21 June 2026.",Alsophis rijgersmaei,Anguilla Racer,EN,Decreasing,,,1000,species,,[],REPTILIA,REPTILES,EN,"Other (Reptiles, Amphib., Crust.)",941,self,True,False,EN
942,150047984,2023-02-05T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/942/150047984,"Madden, H., Daltry, J.C. & Powell, R. 2025. Alsophis rufiventris. The IUCN Red List of Threatened Species 2025: e.T942A150047984. Accessed on 21 June 2026.",Alsophis rufiventris,Red-bellied Racer,VU,Stable,,,,species,,[],REPTILIA,REPTILES,VU,"Other (Reptiles, Amphib., Crust.)",942,self,True,False,VU
