SIS ID,Sequence,Family,Scientific name,Common name,RL Category,PE,PEW,Seabird,Waterbird,Landbird,Migratory status,Ecosystem - Terrestrial,Ecosystem - Freshwater,Ecosystem - Marine,RL AOO,Criteria met at highest level,RL EOO (smaller of breeding and non-breeding EOO),Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
279198786,67160,Tyrant-flycatchers,Pyrocephalus nanus,Brujo Flycatcher,NT,False,False,False,False,True,Not a migrant,True,False,False,0,"""A2bce+4bce; B1ab(i,ii,iii,iv,v)""",20800,"36000-72000, 52000",estimated,Decreasing,inferred
22695886,37590,"Hawks, Eagles",Buteo ridgwayi,Ridgway's Hawk,CR,False,False,False,False,True,Not a migrant,True,False,False,0,C2a(i),26700,322,estimated,Increasing,observed
22693811,27720,Plovers,Charadrius melodus,Piping Plover,NT,False,False,False,True,False,Full migrant,False,True,True,0,A3ce,6090000,7600-8400,estimated,Increasing,suspected
22726810,15450,Hummingbirds,Oxypogon stuebelii,Buffy Helmetcrest,VU,False,False,False,False,True,Not a migrant,True,False,False,4228,A2c+3c+4c,4200,250-999,suspected,Decreasing,inferred
22726798,15460,Hummingbirds,Oxypogon cyanolaemus,Blue-bearded Helmetcrest,EN,False,False,False,False,True,Not a migrant,True,False,False,0,"B1ab(i,ii,iii)",1800,250-999,inferred,Decreasing,suspected
62114603,6460,Grebes,Podiceps juninensis,Northern Silvery Grebe,NT,False,False,False,True,False,Not a migrant,True,True,False,0,A2cde+3cde+4cde,2960000,Unknown,not applicable,Decreasing,suspected
22680225,5910,"Ducks, Geese, Swans",Anas melleri,Meller's Duck,EN,False,False,False,True,False,Not a migrant,True,True,False,0,C2a(ii),261000,1300-3300,estimated,Decreasing,inferred
22680252,6090,"Ducks, Geese, Swans",Anas bernieri,Madagascar Teal,EN,False,False,False,True,False,Full migrant,True,True,True,0,C2a(ii),310000,630-1900,estimated,Decreasing,inferred
22692949,6650,Mesites,Mesitornis variegatus,White-breasted Mesite,VU,False,False,False,False,True,Not a migrant,True,False,False,0,A2cd+3cd+4cd,183000,5300,estimated,Decreasing,suspected
22692966,6660,Mesites,Mesitornis unicolor,Brown Mesite,VU,False,False,False,False,True,Altitudinal migrant,True,False,False,0,A2cde+3cde+4cde; C1+2a(i),140000,2500-9999,estimated,Decreasing,suspected
22692971,6670,Mesites,Monias benschi,Subdesert Mesite,VU,False,False,False,False,True,Not a migrant,True,False,False,0,"A2cd+3cd+4cd; B1ab(i,ii,iii,v)",13400,65000-110000,estimated,Decreasing,inferred
22690609,7530,"Pigeons, Doves",Turacoena modesta,Black Cuckoo-Dove,NT,False,False,False,False,True,Not a migrant,True,False,False,34500,C1,58100,2500-9999,suspected,Decreasing,suspected
22690758,8150,"Pigeons, Doves",Zenaida galapagoensis,Galapagos Dove,NT,False,False,False,False,True,Not a migrant,True,False,False,0,A2ce+3ce+4ce,57100,Unknown,not applicable,Decreasing,suspected
22690991,8430,"Pigeons, Doves",Gallicolumba crinigera,Mindanao Bleeding-heart,VU,False,False,False,False,True,Not a migrant,True,False,False,0,A2cd+3cd+4cd,212000,Unknown,not applicable,Decreasing,inferred
22726279,9270,"Pigeons, Doves",Treron chloropterus,Andaman Green-pigeon,NT,False,False,False,False,True,Not a migrant,True,False,False,0,A4d,113080,Unknown,inferred,Decreasing,suspected
22726297,9290,"Pigeons, Doves",Treron aromaticus,Buru Green-pigeon,NT,False,False,False,False,True,Not a migrant,True,False,False,0,"B1b(ii,iii)",9100,10000-19999,suspected,Decreasing,suspected
22691622,9580,"Pigeons, Doves",Ducula mindorensis,Mindoro Imperial-pigeon,NT,False,False,False,False,True,Not a migrant,True,False,False,0,D1,3900,800-3000,suspected,Unknown,not applicable
22691705,9800,"Pigeons, Doves",Ducula rosacea,Pink-headed Imperial-pigeon,NT,False,False,False,False,True,Not a migrant,True,False,False,0,A2cd+4cd,112500,Unknown,not applicable,Decreasing,inferred
22691322,10130,"Pigeons, Doves",Ramphiculus merrilli,Cream-bellied Fruit-dove,NT,False,False,False,False,True,Not a migrant,True,False,False,0,C1+2a(ii),0,5000-30000,estimated,Decreasing,suspected
22691307,10380,"Pigeons, Doves",Ptilinopus dohertyi,Red-naped Fruit-dove,VU,False,False,False,False,True,Not a migrant,True,False,False,0,C2a(ii),9870,5600-6000,estimated,Decreasing,inferred
